store_name,content
봄의정원 회기점,"우울한 친구를 위해 경희대 벚꽃구경 가는길에 아점먹으려 예약하구 간 장소로 화이트로 매장이 넓진않았지만 깔끔했다. 2층창가 자리로 대화하기 조운장소, 하지만 뷰는 멀리바야 함, 일욜이라 자녀랑 함께한 테이블도 보이고...주문한 로제파스타와 치킨찹스테이크는 약간 짭쪼름하면서도 달달해 정신없이 남기지않고 모두 먹어버렸다 다음에 오면 먹지못한 떡볶이를 먹기로 했다  개인적으로 한가지 아시웠던점은 커피가 없었던 점이..."
봄의정원 회기점,떡볶이 색다르고 맛있었어요!!!:)ㅎㅎ다음에는 갓김치 볶음밥 먹어보고 싶어요!!^^*
봄의정원 회기점,파스타가 버섯향이 강해요 이름값하네요 맛있어요~!라자냐는 치즈가 듬뿍 있어서 너무 좋았어요 이름은 까먹었었는데 닭고기가 엄청 부드러웠어요 고구마인줄알았던 파프리카.. 잘먹었습니다ت
봄의정원 회기점,음식은 맛이 있었어요.직원들은 그다지 친절하진 않은것 같아요.체인점이라 다른 지점을 가보고 싶네요.
봄의정원 회기점,맛있어요
봄의정원 회기점,잘먹었습니다:)
봄의정원 회기점,분위기도 좋고 맛있어요
봄의정원 회기점,맛나용
봄의정원 회기점,좋아요
봄의정원 회기점,좋아요
봄의정원 회기점,좋아요
봄의정원 회기점,좋아요
봄의정원 회기점,김치볶음밥에 고기도 많이 들어있고 크림도 맛있어요~ 오일파스타도 존맛🧡 살짝어수선했던 분위기만 빼면 굳굳 다음에 또 오고 싶네요
봄의정원 회기점,"둘이서 라자냐랑 찹스테이크 먹었는데 배부르게 목어서 남기고 왔오요 🥺 저번에 회식 때 왔다가 분위기도 좋고 음식도 맛있어서 또 왔어요! 남자친구랑 데이트하기 좋은 곳 이에요 ,,🤍"
봄의정원 회기점,여러가지 메뉴 시켜봤는데 다 맛있었어요회기에 이런 곳이 있다니 분위기 내고 싶을때 좋을것 같아요 완전 추천입니다 매장도 넘 예뻤어요 ㅎㅎ
봄의정원 회기점,이색적인 파스타와 스테이크 너무 맛있게 먹었어요!
봄의정원 회기점,어머니와 콘서트 가기 전 들러서 점심 먹었어요. 로제 파스타 너무 맛있었어요. 조용하고 분위기 좋아요.
봄의정원 회기점,아이생일파티 잘하고왔어요맛있었지만...혼자 서빙하다보니 친절한 느낌은 없어서 아쉬워요
봄의정원 회기점,눈이 즐겁고 맛도 훌륭한 식사!맛있게 잘 먹고갑니다:)
봄의정원 회기점,"윽 너무 별로네요.. 음식 조화가 너무 안 맞아요.특히 저 흰목이 버섯은 식감과 맛이 겉돌고, 포크스테이크에 저 위에 흰색은 크림치즈(?)인데대체 옥수수 퓌레랑 크림치즈 이건 뭔 조합이죠?니 맛도 내 맛도 아니었어요. 지인 생일이라서 어쩔 수 없이 이 근처로 간 건데리뷰가 다 너무 좋길래 놀라서 남겨요ㅜㅜ"
봄의정원 회기점,특별한날 가기좋은 분위기도 가성비도 좋은곳입니다.
봄의정원 회기점,혼자 밥먹기 조용하고 좋아요
봄의정원 회기점,맛있게 잘먹고왔습니다~음식설명도 잘해주시고 ^-^재료가 신선해요
